MIN_YEAR,MAX_YEAR,SPECIES_CODE,SPECIES_NAME,SEX,WEIGHT_AREA,MIN_CLUTCH_SZ,MAX_CLUTCH_SZ,VARIABLE_A,VARIABLE_B
1975,,68560,Bairdi Tanner Crab,1,ALL,,,0.00027,3.022134
1975,,68560,Bairdi Tanner Crab,2,ALL,0,1,0.000562,2.816928
1975,,68560,Bairdi Tanner Crab,2,ALL,2,,0.000441,2.898686
1975,,68580,Opilio Crab,1,ALL,,,0.000267,3.097253
1975,,68580,Opilio Crab,2,ALL,0,1,0.001047,2.708367
1975,,68580,Opilio Crab,2,ALL,2,,0.001158,2.708793
1975,,68590,Hybrid Tanner Crab,1,ALL,,,0.000267,3.097253
1975,,68590,Hybrid Tanner Crab,2,ALL,0,1,0.001047,2.708367
1975,,68590,Hybrid Tanner Crab,2,ALL,2,,0.001158,2.708793
1975,,69322,Red King Crab,1,ALL,,,0.000403,3.141334
1975,,69322,Red King Crab,2,ALL,0,1,0.000408,3.127956
1975,,69322,Red King Crab,2,ALL,2,,0.003593,2.666076
1975,,69323,Blue King Crab,1,STMATT,,,0.000502,3.107158
1975,,69323,Blue King Crab,2,STMATT,0,1,0.02065,2.27
1975,,69323,Blue King Crab,2,STMATT,2,,0.02065,2.27
1975,,69323,Blue King Crab,1,PRIB,,,0.000508,3.106409
1975,,69323,Blue King Crab,2,PRIB,0,1,0.02065,2.27
1975,,69323,Blue King Crab,2,PRIB,2,,0.02065,2.27
1975,,69400,Horsehair Crab,1,ALL,,,0.00071731,3.02
1975,,69400,Horsehair Crab,2,ALL,0,1,0.001194533,2.86
1975,,69400,Horsehair Crab,2,ALL,2,,0.001194533,2.86
