Station_ID,Lon,Lat,Q1,Q2,Q3
A-02,-166.9354686,55.00343766,-1.297046869,-0.710628678,0.024942539
A-03,-166.3381828,54.99262007,-1.354636209,-0.607815528,-0.014904899
A-04,-165.6499918,54.92688827,-1.55695379,-0.605238469,-0.099591906
A-05,-165.1494182,54.99533956,-2.15257402,-0.628019024,-0.038916158
B-01,-167.5497422,55.35825397,-0.063187409,-0.574988829,-0.053014287
B-02,-166.9650737,55.34506723,-0.907053273,-0.653687133,0.077758933
B-03,-166.3428856,55.33827448,-0.735645213,-0.544875787,-0.094685766
B-04,-165.7807137,55.33520012,-1.440945182,-0.477162322,-0.141619302
B-05,-165.1690104,55.31919081,-2.253542424,-0.635251093,-0.004549953
B-06,-164.5575638,55.35824862,-2.327581429,-0.493290032,-0.085813186
B-07,-164.0269006,55.33793826,-2.195646261,-0.501135009,-0.198482656
B-08,-163.4121223,55.33795116,-2.853228082,-0.571501663,-0.08411423
C-01,-167.5855617,55.67225447,-0.751150122,-0.554977046,-0.103561312
C-02,-166.9806721,55.66922197,-0.757804275,-0.443913717,-0.155135278
C-03,-166.3993186,55.68018125,-1.175259844,-0.450041001,-0.162755966
C-04,-165.8060404,55.67756657,-1.099152401,-0.433079501,-0.1911121
C-05,-165.1894357,55.64705971,-1.806401062,-0.525041144,-0.136236483
C-06,-164.5827533,55.65018726,-2.835679482,-0.616027611,-0.000975541
C-07,-164.0124477,55.71017779,-2.590797719,-0.605209825,-0.046519969
C-08,-163.4094899,55.6628478,-2.247029991,-0.533060775,-0.137851501
C-09,-162.8191384,55.67310102,-2.597647728,-0.572421331,-0.146844814
D-01,-167.6083033,56.01525141,-1.393850883,-0.715417902,0.04912303
D-02,-166.9866456,56.05871675,-0.753761258,-0.438744784,-0.115929088
D-03,-166.398664,55.99903857,-1.230505893,-0.49338509,-0.010455282
D-04,-165.7855641,55.9989301,-1.735483118,-0.529040454,-0.101859944
D-05,-165.1588025,55.99911386,-2.039031265,-0.680727708,-0.040198872
D-06,-164.5984442,55.99560291,-2.035024083,-0.5861577,-0.107796174
D-07,-164.0402877,56.00096953,-2.719289264,-0.57368069,-0.056485698
D-08,-163.3761765,56.00745953,-2.554786288,-0.552296673,-0.166489195
D-09,-162.8360637,55.99794233,-2.515680935,-0.600342134,0.033711494
D-10,-162.2735827,55.99491287,-2.678579251,-0.61527109,-0.023177273
D-18,-168.2430589,56.00793474,-0.670900775,-0.865186471,-0.039633363
E-01,-167.6608551,56.34393126,-1.589810101,-0.729603121,0.066439985
E-02,-167.045478,56.32788509,-1.356173142,-0.458980084,-0.138245639
E-03,-166.3995159,56.34154819,-2.227149295,-0.60997505,0.020883185
E-04,-165.812748,56.34057859,-1.452931201,-0.489714691,-0.131883059
E-05,-165.1933229,56.33299756,-2.175716665,-0.545000626,-0.052337898
E-06,-164.5783316,56.33731365,-2.599049907,-0.611766109,0.003850245
E-07,-163.9835355,56.33240159,-2.371713674,-0.535534098,-0.11409594
E-08,-163.4190138,56.33510125,-2.566417959,-0.66128329,-0.192708396
E-09,-162.7928479,56.34673841,-2.52898911,-0.579089604,-0.038617856
E-10,-162.1781931,56.34565414,-2.386353444,-0.763830431,0.080542663
E-11,-161.6146625,56.3326946,-2.317433262,-0.631358561,-0.085710748
E-18,-168.2558305,56.34209397,-1.894927911,-0.782878022,0.037675056
E-19,-168.8841039,56.33610349,-2.0725985,-0.749480825,-0.003540564
E-21,-170.0630713,56.33669097,-1.092388805,-0.545906911,-0.031464075
E-22,-170.6947202,56.33550679,-1.925969305,-0.67296209,-0.068268366
F-01,-167.6801297,56.67174032,-1.680304305,-0.724920011,-0.023822311
F-02,-167.0695941,56.65725826,-2.244665991,-0.564950546,-0.004585377
F-03,-166.4453849,56.66855655,-2.121775363,-0.498366261,-0.115906162
F-04,-165.8652495,56.65495599,-2.525036226,-0.591505341,-0.046441188
F-05,-165.2041442,56.66882025,-2.521870325,-0.597092853,-0.051710549
F-06,-164.6060199,56.66829902,-2.657174471,-0.609696583,-0.05358829
F-07,-164.0012797,56.65386064,-2.541762821,-0.559057172,-0.02564257
F-08,-163.3813447,56.66232694,-2.596031283,-0.580835595,-0.103810588
F-09,-162.7957124,56.68146266,-2.252866842,-0.667679573,-0.013004336
F-11,-161.5985157,56.67162035,-1.817950354,-0.604284656,-0.10047708
F-18,-168.2821439,56.66226365,-2.211398287,-0.728202226,-0.01730044
F-19,-168.9044362,56.66400666,-1.76727555,-0.679383171,-0.098675624
F-20,-169.4967303,56.6662745,-2.533050764,-0.58172548,-0.082804147
F-21,-170.3217806,56.69110505,-1.60459872,-0.573260689,-0.068185552
F-22,-170.7392465,56.67776114,-2.172971306,-0.709890713,0.038559368
F-23,-171.3478987,56.66420884,-2.379728555,-0.60938805,-0.0641508
F-24,-171.9427095,56.65798757,-2.58878416,-0.63351843,-0.028531338
G-01,-167.7048179,56.99948953,-2.250376577,-0.690195446,-0.069894866
G-02,-167.0878221,56.98375611,-3.36921871,-0.693256703,0.09343246
G-03,-166.4357889,57.00988444,-2.566126898,-0.611679351,-0.0051698
G-05,-165.2166387,56.98536984,-2.483447682,-0.539093046,-0.059610181
G-06,-164.6147272,56.99202404,-2.676761606,-0.588535665,-0.031759469
G-07,-164.0168677,57.01541153,-2.642345333,-0.583658615,-0.080932517
G-08,-163.3872671,56.999982,-3.066524337,-0.646038056,0.046703727
G-09,-162.8046393,57.01123692,-1.751938755,-0.546801523,-0.16658375
G-10,-162.1901208,56.99157241,-2.640354326,-0.59223795,-0.040200431
G-12,-160.9511913,56.99977287,-2.486217436,-0.612314687,-0.090962386
G-18,-168.338294,56.99016068,-2.28204337,-0.604193893,-0.047408523
G-19,-168.9398027,57.00778323,-1.972686232,-0.506549365,-0.216343118
G-20,-169.5640722,56.99064863,-2.319604587,-0.673191899,-0.078558206
G-21,-170.1784322,56.99978242,-2.574771392,-0.588909761,-0.084872496
G-22,-170.7842328,56.99051021,-1.97296873,-0.67830473,0.168200325
G-23,-171.3854517,57.00287714,-1.821784637,-0.599903043,-0.073810592
G-24,-172.0250677,57.01185065,-2.027166781,-0.645079911,-0.089946265
G-25,-172.663669,57.00641993,-1.889511973,-0.593475827,-0.047923728
GF1918,-168.6266555,56.82780682,-2.707792556,-0.735668062,0.100053046
GF2019,-169.2984696,56.83599845,-2.252829866,-0.641591823,-0.033408023
GF2120,-169.9139002,56.83698197,-2.344859464,-0.59868935,-0.122614652
GF2221,-170.5130219,56.83962358,-1.283148805,-0.608345733,-0.082148053
H-01,-167.7470365,57.33533888,-2.634023833,-0.720982473,-0.055834786
H-02,-167.1200387,57.32972751,-2.932567699,-0.683824636,0.00312325
H-03,-166.4804681,57.32222208,-2.572963414,-0.608192856,-0.027955687
H-04,-165.8638137,57.33404163,-2.389806377,-0.540556904,-0.054825276
H-05,-165.2373413,57.33851046,-2.818632067,-0.604428494,-0.057610892
H-06,-164.6234448,57.33196211,-2.601177505,-0.548147761,-0.106570971
H-07,-164.0178834,57.34039848,-2.949572403,-0.60759034,0.002015092
H-08,-163.3868186,57.3334363,-2.426380034,-0.551849809,-0.169148419
H-12,-160.9340416,57.33696771,-3.128164586,-0.656190641,0.093756238
H-14,-159.6740093,57.3480406,-2.398993106,-0.585018128,-0.077387482
H-18,-168.3652452,57.33172876,-2.764534558,-0.615194361,-0.012221549
H-19,-168.9840507,57.32911198,-2.46695345,-0.578058112,-0.139990421
H-20,-169.5871822,57.33794582,-1.914179965,-0.469326773,-0.292371369
H-21,-170.2324266,57.33767036,-2.39202751,-0.587965557,-0.109712181
H-23,-171.4657554,57.33066588,-0.161418159,-1.013200862,0.237012132
H-24,-172.1069432,57.32523317,-1.852278852,-0.871419719,0.151969862
H-25,-172.8158755,57.34925851,-0.859595961,-0.815138952,-0.057558443
H-26,-173.3543145,57.33464687,-2.159999477,-0.682325481,-0.01765417
HG1918,-168.6479144,57.16319204,-2.718183461,-0.607321919,-0.018164963
HG2019,-169.323543,57.17295669,-2.320914362,-0.505527107,-0.176137527
HG2221,-170.4717465,57.12107218,-2.493848255,-0.632087399,-0.03748817
I-01,-167.7811236,57.67091391,-2.528024438,-0.558002288,-0.094496024
I-02,-167.1222323,57.65707508,-2.102591561,-0.538797301,-0.097832471
I-03,-166.5132035,57.66614051,-2.642647906,-0.546182866,-0.037373727
I-04,-165.8861958,57.6651544,-3.023273975,-0.633566923,0.015084288
I-05,-165.2606415,57.66055374,-2.908950342,-0.637950139,-0.019135766
I-12,-160.8730172,57.66478966,-2.439578359,-0.510718941,-0.171717536
I-18,-168.4008127,57.65668545,-2.696226065,-0.572329113,-0.074763842
I-19,-169.0192316,57.66427009,-2.513075337,-0.554537754,-0.099516306
I-20,-169.6464138,57.66937533,-3.093349631,-0.628912351,0.066633289
I-21,-170.2725591,57.65115365,-2.484095448,-0.612164912,-0.110280557
I-22,-170.9033015,57.67734667,-2.501598592,-0.612989519,-0.03347778
I-23,-171.5588046,57.6581277,-1.279579119,-1.070037748,0.337895335
I-24,-172.1698019,57.67492193,-0.464813845,-0.498598767,-0.081159717
I-25,-172.8114773,57.6743371,-0.738444456,-0.609208221,-0.065925563
IH1918,-168.7596206,57.50031583,-2.914763808,-0.584047141,-0.03842768
IH2019,-169.3585932,57.49294266,-2.674184789,-0.601825937,-0.105667349
IH2120,-169.9970313,57.50815737,-2.572744702,-0.620677365,-0.073951766
IH2221,-170.5690822,57.52086531,-2.784972081,-0.593556195,-0.05011905
J-01,-167.8115208,57.99313245,-2.657747144,-0.554408334,-0.024502008
J-02,-167.1728865,57.98992025,-2.711200534,-0.57910682,-0.015262654
J-03,-166.5312534,58.0038572,-3.141175914,-0.568618619,0.053001348
J-04,-165.9025137,58.00440666,-2.434102731,-0.512635954,-0.185043807
J-18,-168.4380257,57.99668054,-2.69919459,-0.551623399,-0.082190713
J-19,-169.071186,58.00462848,-2.689811931,-0.632139251,0.018029561
J-20,-169.6917592,57.99536137,-2.570259876,-0.597819389,-0.074971211
J-21,-170.3366647,57.99852492,-2.556425918,-0.602638853,-0.089048823
J-22,-170.9578077,57.9972644,-1.560369596,-0.468772092,-0.112512632
J-23,-171.5933505,57.98950635,-2.288900358,-0.787328824,0.144981172
J-24,-172.244354,58.00419394,-0.377841848,-0.449336138,-0.095087053
