latitude,longitude,sorting
53.8575,-166.57417,1.2533
53.882,-166.52567,1.5266
53.91533,-166.49733,1.66423
53.921,-166.4955,1.23054
53.93217,-166.49117,1.4766
53.95683,-166.48483,1.4914
53.97817,-166.47317,1.5674
53.98417,-166.5945,1.11874
54.02183,-166.466,1.667
54.13,-165.7437,2.194
54.1315,-165.7482,2.1434
54.09,-166.55,1.43
54.1312,-166.2028,2.0726
54.67,-164.755,0.57713
54.70167,-164.81667,0.57713
54.645,-165.422,2.47
54.6905,-165.15816666666666,1.081
54.55833,-166.89917,1.4242
54.75,-165.5,0.51
54.8042,-164.9912,1.7366
54.729,-165.8935,1.9783
54.7355,-165.8835,1.7823
54.90533,-164.578,1.08943
54.97667,-164.10167,0.51085
54.9475,-164.581,1.99615
54.94167,-164.68333,0.51
55.015,-164.16,2.39739
54.9775,-164.5855,1.80275
55.01266666666667,-164.431,0.578
54.885,-165.8,1.41
55.023,-164.58517,1.68646
55.12,-163.48,0.40741
55.131,-163.42833,1.1342
55.04533,-164.58717,1.08841
55.05,-164.583,0.79
55.09167,-164.23167,1.05733
55.15,-163.58333,0.38
55.09033,-164.58667,1.58218
55.09933,-164.58683,0.774
55.092,-164.783,1.08
55.0372,-165.4852,1.5887
55.25667,-163.06,0.35375
55.13033,-164.58833,1.4934
55.20967,-163.70333,1.80674
55.15,-164.4,0.82343
54.91667,-166.75,1.72
55.23,-163.55167,0.54425
55.285,-162.96667,0.52762
54.915,-166.975,1.52
55.24583,-163.61867,0.7523
54.9837,-166.4312,2.1544
55.16,-164.69,1.4
55.20445,-164.20748,0.9021
55.20393,-164.35782,0.7847
55.295,-163.315,0.91
55.21143,-164.50497,1.325
55.28568,-163.74817,0.7564
55.20637,-164.65715,1.287
55.1083,-165.7333,1.11
55.35333,-163.03,0.67285
55.34667,-163.13167,0.61
55.273,-164.04617,0.76446
55.2059,-164.80675,0.9544
55.2885,-163.90267,1.1709
55.33266666666667,-163.41683333333333,1.319
55.38067,-162.921,0.71915
55.20783,-164.95348,1.0679
55.29028,-164.0523,0.8592
54.97667,-167.16633,1.5656
55.33667,-163.665,0.89492
55.26667,-164.5,1.15
55.37333,-163.33833,1.06
55.20333,-165.29833,0.69
55.00083,-167.33183,1.5993
55.37542,-163.58847,0.8386
55.35,-163.9,1.22
55.344,-164.00783333333334,1.151
55.03017,-167.27767,1.4431
55.03117,-167.2765,1.5084
55.44083,-163.06167,0.52762
55.29477,-164.80953,1.0909
55.266,-165.133,1.92
55.2813,-165.1292,1.918
55.061,-167.23167,1.4984
55.37535,-164.20333,1.398
55.139,-166.7578,2.5154
55.53,-162.56667,1.46
55.4586,-163.59597,0.9428
55.38333,-164.51667,1.64
55.48167,-163.385,0.52762
55.38355,-164.65237,1.223
55.4,-164.583,1.92
55.4631,-163.90097,1.1883
55.53067,-163.1455,0.45976
55.5,-163.53333,0.73
55.49,-163.87,0.69
55.2922,-165.9847,2.2538
55.46168,-164.23333,1.2396
55.59167,-162.63167,0.42
55.59317,-162.6575,0.8606
55.515,-163.735,0.52
55.54075,-163.44073,0.6046
55.48667,-164.185,0.63
55.53167,-163.89833,0.73
55.6,-163.1,0.44
55.6197,-162.90362,0.4904
55.54898,-163.89962,1.1239
55.62303,-163.0577,1.0614
55.58333,-163.58333,0.51
55.54815,-164.04662,1.1652
55.63888,-162.97092,0.9714
55.62452,-163.28052,0.9425
55.63217,-163.3095,0.65719
55.501,-164.8372,1.8539
55.5043,-164.8353,1.9833
55.4,-165.9,1.23
55.66667,-162.97833,0.76
55.68,-162.81333333333333,0.567
55.55138,-164.42647,1.1789
55.585,-164.05,1.18
55.69667,-162.70167,0.67285
55.62942,-163.58947,0.5174
55.288,-167.112,2.06
55.2912,-167.1105,2.6886
55.70463,-162.74563,0.6751
55.55228,-164.65563,1.0914
55.66466666666667,-163.4065,1.002
55.31167,-167.075,1.97
55.7072,-162.89865,0.6961
55.76667,-162.12833,0.40741
55.63375,-163.88618,1.4337
55.76367,-162.24333,0.65685
55.34083,-166.95117,1.341
55.533,-165.15,1.38
55.78167,-162.16333,0.95043
55.64132,-163.97655,0.6256
55.47,-165.82,1.95
55.70333,-163.24667,0.46
55.74,-162.82333,0.49396
55.76667,-162.49167,0.6
