SIZE,YEAR,BOTTOM_DEPTH,GEAR_TEMPERATURE,HAULJOIN,q,numTot,plot,est,se
27.5,--,85,4.4,1,1,1,Z,0.016615665256804642,9.837366858672114e-4
32.5,--,85,4.4,1,1,1,Z,0.03408401074452107,0.0015967794922593455
37.5,--,85,4.4,1,1,1,Z,0.059739143440158925,0.002621669491525421
42.5,--,85,4.4,1,1,1,Z,0.09099011500906863,0.004824096901292457
47.5,--,85,4.4,1,1,1,Z,0.12384907918410153,0.008786485096987576
52.5,--,85,4.4,1,1,1,Z,0.154896888450137,0.013350151641060223
57.5,--,85,4.4,1,1,1,Z,0.18269434755679764,0.01645035620904731
62.5,--,85,4.4,1,1,1,Z,0.20764610233715552,0.016745057177801042
67.5,--,85,4.4,1,1,1,Z,0.23024345815529396,0.016121503775439187
72.5,--,85,4.4,1,1,1,Z,0.2514140412396094,0.01773664359945997
77.5,--,85,4.4,1,1,1,Z,0.27265165062914243,0.02166804537549022
82.5,--,85,4.4,1,1,1,Z,0.2958980907042419,0.024777979980190407
87.5,--,85,4.4,1,1,1,Z,0.3228617749298227,0.024459043569288613
92.5,--,85,4.4,1,1,1,Z,0.35287321232784075,0.021824774714202442
97.5,--,85,4.4,1,1,1,Z,0.3843492515628011,0.02001001809440013
102.5,--,85,4.4,1,1,1,Z,0.4154187358941765,0.021007228817654496
107.5,--,85,4.4,1,1,1,Z,0.4440481796942179,0.022678608619652416
112.5,--,85,4.4,1,1,1,Z,0.4687569789760796,0.022352934717583508
117.5,--,85,4.4,1,1,1,Z,0.49044789920031273,0.021476994219587753
122.5,--,85,4.4,1,1,1,Z,0.5107130510199157,0.022078622605834593
127.5,--,85,4.4,1,1,1,Z,0.5311898161518396,0.023520334508791107
132.5,--,85,4.4,1,1,1,Z,0.5534984767986115,0.023622249183484583
137.5,--,85,4.4,1,1,1,Z,0.5780451988835267,0.02288890047924236
142.5,--,85,4.4,1,1,1,Z,0.6007100661181359,0.025734512628730187
147.5,--,85,4.4,1,1,1,Z,0.6165400938878991,0.031560114976335776
152.5,--,85,4.4,1,1,1,Z,0.6208611200014984,0.03613577129926115
157.5,--,85,4.4,1,1,1,Z,0.6088388893138076,0.037212259348391626
162.5,--,85,4.4,1,1,1,Z,0.5764280349917223,0.03973272143282935
167.5,--,85,4.4,1,1,1,Z,0.5254275744848562,0.05738421408086882
172.5,--,85,4.4,1,1,1,Z,0.4604460120497792,0.0901759310915289
177.5,--,85,4.4,1,1,1,Z,0.38819554275988266,0.12682044280372062
182.5,--,85,4.4,1,1,1,Z,0.3166380614054233,0.15650828199740432
