width,station,num.b,meas.b,num.n,meas.n,depth,netwidth,temp,phi,area.n,area.b
23,F22,1,1,0,0,113,17.814,3.7,3.66151186,0.01465671,0.001968
23,H18,2,2,13,13,74,17.655,-0.7,3.312258852,0.015714934,0.001505
23,I18,2,2,0,0,71,17.168,-0.2,3.464881134,0.01426035,0.001726
23,I21,5,5,0,0,73,15.877,-0.3,3.407365428,0.012535312,0.001424
23,I22,3,3,0,0,84,16.847,1.8,3.995256604,0.013787421,0.002207
23,IH2120,1,1,0,0,69,19.724,-0.5,3.084690721,0.01393945,0.001573
23,J18,15,15,2,2,69,17.01,-1.3,3.53616725,0.013955533,0.001729
23,J19,12,12,5,5,70,17.674,-1.4,3.383303385,0.016108009,0.001967
23,J20,5,5,1,1,70,17.531,-1.3,3.420389645,0.014342088,0.001781
23,J21,4,4,0,0,74,21.313,-0.7,3.782849245,0.017883537,0.001866
23,J22,10,10,0,0,86,17.659,1.2,4.363528075,0.014132744,0.002204
23,J24,1,1,0,0,104,17.238,2.2,4.898351515,0.010564225,0.001779
23,JI2120,0,0,20,20,71,16.959,-1.1,3.396841343,0.013854358,0.001986
23,JI2221,9,9,0,0,77,17.237,0.3,3.883139896,0.014156848,0.001922
23,K20,13,13,2,2,69,17.227,-1.4,3.628743979,0.014038138,0.001657
23,K21,3,3,0,0,73,16.812,-1.2,4.01417833,0.014244035,0.001774
23,K22,10,10,1,1,84,17.182,0.3,4.584010222,0.014312055,0.00179
23,K23,5,5,0,0,95,17.373,1.8,5.003959037,0.014136851,0.001984
23,K24,2,2,0,0,102,17.068,2.5,5.064305575,0.013814022,0.002303
23,L20,22,22,1,1,67,17.602,-1.1,3.825626356,0.014241084,0.001801
23,L21,3,3,0,0,73,16.83,-1.4,4.260148815,0.014195496,0.001732
23,L23,23,23,0,0,92,17.397,1.2,5.095623434,0.014065082,0.001973
23,L24,7,7,0,0,101,17.608,2.1,5.139558957,0.014071393,0.002287
23,N21,1,1,0,0,68,16.959,-1.5,4.659262716,0.013547802,0.001949
23,N22,3,3,0,0,75,17.666,-1.5,4.932028292,0.01470491,0.001568
23,N25,6,6,0,0,102,17.654,1.6,5.248364893,0.014334626,0.002505
23,O22,3,3,0,0,72,18.317,-1.5,4.847790796,0.015305537,0.001688
23,O24,5,5,0,0,84,17.36,-1.1,4.952238978,0.01433885,0.001958
23,O25,2,2,0,0,95,17.654,-0.2,5.291280223,0.014905952,0.001766
23,O26,91.48,20,0,0,104,17.11,1.8,5.668704942,0.013623533,0.001917
23,ON2524,1,1,0,0,93,17.654,1.2,5.161146292,0.01480301,0.00174
23,P20,6,3,0,0,53,16.541,-1.3,4.417112406,0.013527348,0.001825
23,P22,1,1,0,0,69,17.975,-1.5,4.755803026,0.014511419,0.001909
23,P24,0,0,1,1,65,17.432,-1,4.740610892,0.014347497,0.001689
23,P25,2,2,1,1,75,17.444,-1.1,5.172185218,0.005858907,0.001701
